List,itemNr,F1_NPforms,F2_matchness,Grouped,Predicate,linguisticContext,Color1,Color2,Shape1,Shape2,Number1,Number2
3,901,+filler,second,Shape,separated,The eight circles are separated.,brown,orange,heart,circle,5,8
3,902,-filler,first,Color,separated,The nine grey objects are separated.,grey,grey,triangle,star,8,7
3,903,+filler,second,Shape,separated,The eight circles are separated.,blue,grey,star,circle,6,8
3,904,-filler,first,Color,separated,The two brown objects are separated.,brown,grey,star,star,5,8
3,905,+filler,second,Shape,separated,The eight stars are separated.,orange,blue,circle,star,5,8
3,906,-filler,first,Color,separated,The two blue objects are separated.,blue,blue,circle,star,6,5
3,801,part,+match,Shape,separated,The circles and the triangles are separated.,grey,green,circle,triangle,8,6
3,802,sum,random,Color,separated,The objects are separated.,red,black,heart,cross,5,6
3,803,part,-match,Shape,separated,The hearts and the circles are separated.,brown,orange,heart,circle,8,8
4,901,+filler,second,Shape,separated,The eight circles are separated.,brown,orange,heart,circle,5,8
4,902,-filler,first,Color,separated,The three grey objects are separated.,grey,grey,triangle,star,8,7
4,903,+filler,second,Shape,separated,The eight circles are separated.,blue,grey,star,circle,6,8
4,904,-filler,first,Color,separated,The seven brown objects are separated.,brown,grey,star,star,5,8
4,905,+filler,second,Shape,separated,The eight stars are separated.,orange,blue,circle,star,5,8
4,906,-filler,first,Color,separated,The nine blue objects are separated.,blue,blue,circle,star,6,5
4,801,part,+match,Shape,separated,The circles and the triangles are separated.,grey,green,circle,triangle,8,6
4,802,sum,random,Color,separated,The objects are separated.,red,black,heart,cross,5,6
4,803,part,-match,Shape,separated,The hearts and the circles are separated.,brown,orange,heart,circle,8,8
5,901,+filler,second,Shape,separated,The eight circles are separated.,brown,orange,heart,circle,5,8
5,902,-filler,first,Color,separated,The six grey objects are separated.,grey,grey,triangle,star,8,7
5,903,+filler,second,Shape,separated,The eight circles are separated.,blue,grey,star,circle,6,8
5,904,-filler,first,Color,separated,The three brown objects are separated.,brown,grey,star,star,5,8
5,905,+filler,second,Shape,separated,The eight stars are separated.,orange,blue,circle,star,5,8
5,906,-filler,first,Color,separated,The four blue objects are separated.,blue,blue,circle,star,6,5
5,801,part,+match,Shape,separated,The circles and the triangles are separated.,grey,green,circle,triangle,8,6
5,802,sum,random,Color,separated,The objects are separated.,red,black,heart,cross,5,6
5,803,part,-match,Shape,separated,The hearts and the circles are separated.,brown,orange,heart,circle,8,8
6,901,+filler,second,Shape,separated,The eight circles are separated.,brown,orange,heart,circle,5,8
6,902,-filler,first,Color,separated,The six grey objects are separated.,grey,grey,triangle,star,8,7
6,903,+filler,second,Shape,separated,The eight circles are separated.,blue,grey,star,circle,6,8
6,904,-filler,first,Color,separated,The nine brown objects are separated.,brown,grey,star,star,5,8
6,905,+filler,second,Shape,separated,The eight stars are separated.,orange,blue,circle,star,5,8
6,906,-filler,first,Color,separated,The four blue objects are separated.,blue,blue,circle,star,6,5
6,801,part,+match,Shape,separated,The circles and the triangles are separated.,grey,green,circle,triangle,8,6
6,802,sum,random,Color,separated,The objects are separated.,red,black,heart,cross,5,6
6,803,part,-match,Shape,separated,The hearts and the circles are separated.,brown,orange,heart,circle,8,8
