submission_id,F1,F1_NPforms,F2,F2_matchness,List,acceptability,age,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemNr,languages,practice,responseTime,trialNR
945,,sum,,+match,6,100,30,,Higher degree,285144,1741815432208,1741815147064,female,88,English,NA,4626,1
945,,part,,random,6,3,30,,Higher degree,285144,1741815432208,1741815147064,female,31,English,NA,6728,2
945,,sum,,-match,6,96,30,,Higher degree,285144,1741815432208,1741815147064,female,114,English,NA,11397,3
945,,part,,+match,6,98,30,,Higher degree,285144,1741815432208,1741815147064,female,93,English,NA,7411,4
945,,sum,,+match,6,95,30,,Higher degree,285144,1741815432208,1741815147064,female,16,English,NA,9054,5
945,,-filler,,first,6,2,30,,Higher degree,285144,1741815432208,1741815147064,female,906,English,NA,6356,6
945,,part,,+match,6,94,30,,Higher degree,285144,1741815432208,1741815147064,female,21,English,NA,4914,7
945,,part,,+match,6,93,30,,Higher degree,285144,1741815432208,1741815147064,female,57,English,NA,5392,8
945,,part,,random,6,28,30,,Higher degree,285144,1741815432208,1741815147064,female,103,English,NA,12248,9
945,,part,,+match,6,92,30,,Higher degree,285144,1741815432208,1741815147064,female,129,English,NA,4483,10
945,,sum,,random,6,10,30,,Higher degree,285144,1741815432208,1741815147064,female,26,English,NA,6599,11
945,,+filler,,second,6,5,30,,Higher degree,285144,1741815432208,1741815147064,female,903,English,NA,6344,12
945,,part,,-match,6,7,30,,Higher degree,285144,1741815432208,1741815147064,female,83,English,NA,10429,13
945,,part,,random,6,8,30,,Higher degree,285144,1741815432208,1741815147064,female,139,English,NA,4951,14
945,,sum,,random,6,10,30,,Higher degree,285144,1741815432208,1741815147064,female,62,English,NA,7361,15
945,,sum,,+match,6,88,30,,Higher degree,285144,1741815432208,1741815147064,female,124,English,NA,5156,16
945,,sum,,random,6,12,30,,Higher degree,285144,1741815432208,1741815147064,female,98,English,NA,7481,17
945,,part,,-match,6,4,30,,Higher degree,285144,1741815432208,1741815147064,female,11,English,NA,5626,18
945,,part,,-match,6,14,30,,Higher degree,285144,1741815432208,1741815147064,female,119,English,NA,6727,19
945,,-filler,,first,6,4,30,,Higher degree,285144,1741815432208,1741815147064,female,904,English,NA,5957,20
945,,sum,,random,6,8,30,,Higher degree,285144,1741815432208,1741815147064,female,134,English,NA,4545,21
945,,sum,,+match,6,17,30,,Higher degree,285144,1741815432208,1741815147064,female,52,English,NA,8994,22
945,,sum,,-match,6,95,30,,Higher degree,285144,1741815432208,1741815147064,female,78,English,NA,4691,23
945,,+filler,,second,6,4,30,,Higher degree,285144,1741815432208,1741815147064,female,905,English,NA,8111,24
945,,-filler,,first,6,2,30,,Higher degree,285144,1741815432208,1741815147064,female,902,English,NA,5496,25
945,,part,,random,6,6,30,,Higher degree,285144,1741815432208,1741815147064,female,67,English,NA,4842,26
945,,+filler,,second,6,5,30,,Higher degree,285144,1741815432208,1741815147064,female,901,English,NA,4289,27
945,,sum,,-match,6,95,30,,Higher degree,285144,1741815432208,1741815147064,female,6,English,NA,6505,28
945,,part,,-match,6,7,30,,Higher degree,285144,1741815432208,1741815147064,female,47,English,NA,5239,29
